layer,sae_id,group_by,sample_size,group_count,separation_score,cramers_v,f_statistic,representational_distance,mean_l0,top_feature_indices,top_feature_spreads
3,resid_post_layer_3_trainer_1,judge_category,5000,9,0.396845,0.188448,7.948663,88.423009,28.757599,76854|30002|85420|81610|56790|102007|6530|117587|15737|116982|7637|7478|99334|61853|47330|55556|2198|60563|91814|4432,0.363769|0.348696|0.317094|0.315600|0.262596|0.261577|0.214389|0.200463|0.195157|0.170575|0.163908|0.154440|0.150804|0.150572|0.148902|0.125511|0.125347|0.113699|0.107033|0.104003
7,resid_post_layer_7_trainer_1,judge_category,5000,9,0.268815,0.162736,50.732346,131.025825,45.735001,109323|83498|55339|18875|122355|35935|63075|20827|74864|60539|59559|39279|70573|48101|56007|118824|65069|104087|121731|39845,1.096937|0.946680|0.856473|0.757924|0.736657|0.643610|0.517906|0.500020|0.444840|0.443568|0.439051|0.427408|0.403863|0.397480|0.390235|0.363445|0.352917|0.352416|0.329300|0.310752
11,resid_post_layer_11_trainer_1,judge_category,5000,9,0.261413,0.160950,62.122066,137.634554,37.561001,123331|130862|6368|58822|125190|401|29742|27763|37431|84702|81|44606|69334|44523|49824|69791|25500|102166|63228|62579,1.248368|1.028459|0.927268|0.842140|0.760678|0.718656|0.697955|0.650139|0.623611|0.571846|0.502187|0.496596|0.474088|0.467738|0.440669|0.412784|0.402005|0.388582|0.363750|0.363053
15,resid_post_layer_15_trainer_1,judge_category,5000,9,0.275502,0.164315,92.103195,138.773162,37.892200,129304|58233|32672|44228|28539|104237|77133|13976|116382|101979|120228|64337|126374|5506|121639|24594|47156|113059|40693|112670,1.823735|1.580451|1.177222|1.035111|0.949558|0.890826|0.889326|0.790220|0.783124|0.762999|0.725115|0.643948|0.580347|0.564171|0.557063|0.553438|0.518551|0.510936|0.506719|0.486318
19,resid_post_layer_19_trainer_1,judge_category,5000,9,0.225015,0.151527,92.819496,121.082429,32.140198,98165|30161|20121|73372|111284|116235|44904|68970|5076|101897|71061|100483|86161|29975|106374|69435|5008|28664|103920|126348,2.123102|1.358892|1.177410|1.060807|0.999209|0.912413|0.881939|0.877481|0.871358|0.855134|0.848102|0.842459|0.842063|0.815597|0.793077|0.676193|0.648284|0.623331|0.623078|0.616598
23,resid_post_layer_23_trainer_1,judge_category,5000,9,0.185763,0.139938,90.747185,106.858884,27.480200,76786|73540|48021|93403|106349|20176|87373|125964|86295|2220|106007|110865|10317|22930|78285|116947|92997|614|55583|60646,2.647533|1.986406|1.674844|1.347699|1.284035|1.275686|1.227765|1.162320|1.087601|1.084367|1.074690|0.991609|0.941570|0.901208|0.862490|0.851009|0.822896|0.806096|0.777778|0.742522
27,resid_post_layer_27_trainer_1,judge_category,5000,9,0.174148,0.136161,95.277161,93.726026,24.498999,106628|80948|44833|9897|76568|40311|24431|42366|45181|84289|83243|78807|6326|89460|8394|95346|87391|55884|82391|47066,5.039736|2.314048|1.927907|1.848163|1.715063|1.588825|1.525290|1.425876|1.424768|1.343392|1.339081|1.293125|1.272129|1.207855|1.201639|1.154935|1.017990|1.014951|0.955264|0.920689
